Nome Completo,Data de Nascimento,Gênero,Bairro,Telefone,Membro Ativo,Data de Cadastro
Tiago Medeiros,10/07/1962,Masculino,São José,(82) 93529-2225,Sim,13/09/2025
Carlos Eduardo,04/07/1974,Masculino,Novo Horizonte,(82) 92315-6383,Sim,12/12/2024
Zacarias Brito,29/10/1986,Masculino,Cohab,(82) 98994-9864,Sim,02/04/2026
Gabriel Silva,09/05/1975,Masculino,Bom Jesus,(82) 92480-8110,Não,01/09/2024
Letícia Vieira,28/07/1993,Feminino,Santa Maria,(82) 95906-1474,Sim,15/04/2026
Miquéias Lima,21/07/2003,Masculino,Santa Maria,(82) 95000-9702,Sim,13/07/2024
Elza Pontes,12/03/2019,Feminino,Centro,(82) 97267-4945,Sim,22/10/2024
Geraldo Uchoa,04/11/1952,Masculino,São Francisco,(82) 98529-5183,Sim,20/02/2025
Rebeca Alves,18/09/1975,Feminino,Santa Maria,(82) 92210-8237,Não,18/10/2024
Bezalel Vasconcelos,01/12/1983,Masculino,São Francisco,(82) 98484-5949,Sim,14/05/2025
Giovanna Lima,13/04/2013,Feminino,Esperança,(82) 96881-5847,Não,13/08/2025
Cícero Bezerra,15/11/1970,Masculino,Esperança,(82) 95497-1132,Sim,09/07/2024
Aparecida Fonseca,19/10/1995,Feminino,Cohab,(82) 99138-5689,Sim,19/10/2025
Tatiane Ribeiro,04/04/1955,Feminino,Novo Horizonte,(82) 94115-5106,Sim,05/08/2024
Abigail Rocha,30/10/2006,Feminino,Centro,(82) 91645-6061,Não,08/05/2026
Rosangela Borges,18/02/1973,Feminino,Centro,(82) 95835-6352,Sim,14/12/2025
Natanael Reis,18/06/2009,Masculino,Jardim Tropical,(82) 99221-5465,Não,21/09/2025
Tamar Ferreira,13/05/1951,Feminino,Cohab,(82) 96549-2886,Sim,26/03/2026
Esdras Borges,24/11/1989,Masculino,Cohab,(82) 97511-6992,Sim,03/05/2025
Mardoqueu Bezerra,14/02/1949,Masculino,Vila Nova,(82) 97038-5295,Sim,27/08/2024
Renata Cavalcante,23/11/2007,Feminino,Bom Jesus,(82) 98724-1410,Sim,14/11/2024
Estêvão Melo,05/04/1947,Masculino,Novo Horizonte,(82) 92035-8606,Não,06/08/2025
Vitória Melo,22/02/2007,Feminino,Pindorama,(82) 91609-5986,Não,13/02/2026
Levi Araújo,20/02/1949,Masculino,Esperança,(82) 98432-7078,Sim,28/06/2024
Elisangela Dias,09/10/1983,Feminino,Cohab,(82) 93531-7797,Sim,26/01/2025
Isadora Pinto,30/12/1987,Feminino,Cohab,(82) 97070-4559,Sim,13/10/2025
Maria José,29/11/2007,Feminino,Alto do Cruzeiro,(82) 99920-6876,Sim,02/09/2025
Marcos Vinícius,02/08/2020,Masculino,Centro,(82) 94475-1349,Sim,05/07/2025
Paulo César,28/09/1962,Masculino,Bom Jesus,(82) 92124-4394,Sim,16/10/2025
Jacó Ferreira,14/10/2019,Masculino,Pindorama,(82) 95542-3370,Não,05/12/2024
Vinícius Macedo,07/02/1991,Masculino,Novo Horizonte,(82) 91422-3159,Sim,11/10/2025
Adriana Freitas,12/03/2008,Feminino,São Francisco,(82) 91858-3076,Sim,20/12/2024
Isaque Santos,13/08/1994,Masculino,Vila Nova,(82) 96931-9408,Sim,06/03/2025
Letícia Vieira,04/01/1977,Feminino,Cohab,(82) 99543-5941,Sim,11/05/2026
Elias Mendonça,06/07/2001,Masculino,Esperança,(82) 92768-9032,Sim,14/03/2025
Caio Barros,26/05/1964,Masculino,Mangabeira,(82) 93430-2076,Sim,10/09/2024
Priscila Aquila,28/05/1979,Feminino,Esperança,(82) 99692-5831,Sim,30/09/2024
Oswaldo Sampaio,07/12/1971,Masculino,Centro,(82) 94522-8046,Sim,21/10/2025
Elcana Batista,02/08/1970,Masculino,Esperança,(82) 97815-2557,Sim,26/07/2025
Letícia Vieira,01/03/2011,Feminino,Novo Horizonte,(82) 98770-2099,Sim,16/03/2026
Gustavo Pereira,21/06/1963,Masculino,Frei Damião,(82) 93131-1982,Sim,13/11/2024
Joana Batista,13/02/1975,Feminino,Esperança,(82) 96793-7929,Sim,20/04/2026
Flávia Leite,21/05/1977,Feminino,Alto do Cruzeiro,(82) 92697-9313,Sim,08/08/2024
Luana Batista,06/02/1969,Feminino,Alto do Cruzeiro,(82) 97022-2882,Sim,01/11/2024
Ibraim Cavalcante,26/09/1983,Masculino,Frei Damião,(82) 91430-5381,Sim,05/09/2025
Neuza Patriota,04/06/2004,Feminino,Alto do Cruzeiro,(82) 91100-3972,Não,09/11/2024
Valentina Cardoso,23/02/1994,Feminino,Cohab,(82) 91502-2503,Sim,03/11/2025
Anderson Souza,05/06/2010,Masculino,Santa Maria,(82) 97062-6105,Sim,07/11/2024
Ester Brito,09/01/1968,Feminino,Santa Maria,(82) 93579-1815,Sim,06/09/2025
Ana Clara,18/08/1953,Feminino,Mangabeira,(82) 98242-7785,Sim,03/01/2025
Jessé Prado,07/02/1953,Masculino,São Francisco,(82) 98972-9633,Sim,26/04/2026
Abiatar Soares,10/01/1977,Masculino,Pindorama,(82) 94349-5938,Não,22/01/2026
Lídia Campos,29/05/2017,Feminino,Centro,(82) 91126-9149,Sim,14/12/2025
Neemias Freitas,08/12/1979,Masculino,Bom Jesus,(82) 99196-6802,Sim,29/04/2026
Gedeão Alves,21/01/2001,Masculino,São José,(82) 96129-8033,Sim,15/06/2024
Yasmin Campos,09/02/1957,Feminino,Esperança,(82) 91341-6321,Sim,17/09/2024
Edna Falcão,16/06/1974,Feminino,Centro,(82) 98155-2734,Sim,16/10/2024
Levi Araújo,03/07/1964,Masculino,São José,(82) 96083-6562,Sim,21/12/2025
Clovis Barreiros,10/02/1976,Masculino,Jardim Tropical,(82) 99355-4176,Não,19/06/2025
Boaz Rangel,08/11/1970,Masculino,São José,(82) 93419-4871,Sim,22/09/2025
Felipe Carvalho,01/03/1977,Masculino,Frei Damião,(82) 92234-3902,Não,06/09/2024
Ísis Torres,27/09/1972,Feminino,Frei Damião,(82) 98354-6295,Sim,07/09/2024
Raimundo Holanda,16/01/1982,Masculino,Vila Nova,(82) 98245-5961,Sim,14/10/2024
Antônio Filho,19/01/2009,Masculino,São Francisco,(82) 98565-8404,Sim,30/05/2025
Dina Vasconcelos,08/11/1964,Feminino,São José,(82) 92479-9307,Sim,25/10/2024
Zelfa Gomes,03/01/1941,Feminino,Vila Nova,(82) 94084-6267,Sim,14/01/2025
Jacó Ferreira,31/07/2008,Masculino,Centro,(82) 96626-2381,Sim,17/12/2025
Samuel Freitas,25/07/1974,Masculino,Vila Nova,(82) 99586-9564,Sim,04/06/2025
Zacarias Brito,29/06/1957,Masculino,Esperança,(82) 96543-1857,Sim,18/08/2024
Adão Pereira,30/01/1986,Masculino,Jardim Tropical,(82) 97333-5655,Sim,08/08/2024
Ester Oliveira,27/02/1999,Feminino,Alto do Cruzeiro,(82) 92335-3317,Não,29/07/2025
Aline Moura,17/02/2010,Feminino,Mangabeira,(82) 92388-6072,Sim,22/08/2024
Maya Lacerda,16/02/1970,Feminino,Novo Horizonte,(82) 99624-2531,Sim,04/04/2025
Luana Batista,16/06/2008,Feminino,São Francisco,(82) 93953-4509,Sim,30/01/2025
Roberto Araújo,02/03/1992,Masculino,Centro,(82) 95846-2657,Sim,06/12/2024
Rosangela Borges,02/01/2000,Feminino,Novo Horizonte,(82) 96517-3147,Sim,05/01/2026
Elcana Batista,02/12/1970,Masculino,Frei Damião,(82) 93712-8170,Sim,03/06/2025
Abigail Rocha,28/07/2005,Feminino,Mangabeira,(82) 95668-8355,Sim,10/10/2025
Sansão Lacerda,10/08/1971,Masculino,Palmeira,(82) 94178-7026,Sim,04/11/2024
Débora Lima,06/05/1982,Feminino,Frei Damião,(82) 97256-9239,Sim,28/12/2025
Dorcas Barros,18/10/1971,Feminino,Santa Maria,(82) 95096-1854,Sim,27/05/2025
Márcia Cavalcanti,03/09/2007,Feminino,São José,(82) 93042-5670,Sim,29/12/2025
Fábio Nascimento,01/09/1968,Masculino,Santa Maria,(82) 98167-2502,Não,27/10/2025
Miriã Santos,26/12/2010,Feminino,Esperança,(82) 91872-7495,Sim,13/10/2025
Adilson Neto,22/06/2020,Masculino,Bom Jesus,(82) 91461-6221,Sim,15/08/2024
Benedito Lira,21/02/2006,Masculino,Pindorama,(82) 95700-8740,Sim,20/01/2026
Clara Prado,30/07/2001,Feminino,Mangabeira,(82) 91086-2298,Sim,03/11/2025
Lara Holanda,20/10/2000,Feminino,Jardim Tropical,(82) 97934-2821,Não,11/10/2025
Silas Cardoso,14/04/1995,Masculino,Esperança,(82) 98489-2029,Sim,16/01/2025
Ana Lúcia,01/11/1996,Feminino,Jardim Tropical,(82) 94963-3352,Sim,10/06/2026
Conceição Paz,01/10/1989,Feminino,Esperança,(82) 94068-2402,Sim,07/06/2025
Fábio Nascimento,17/09/1980,Masculino,Jardim Tropical,(82) 99316-1333,Sim,15/02/2025
Esdras Borges,22/06/1954,Masculino,São Francisco,(82) 91266-6850,Sim,23/06/2025
Igor Batista,30/10/1975,Masculino,Centro,(82) 96447-3185,Sim,29/11/2024
Ibraim Cavalcante,12/03/1998,Masculino,São José,(82) 98612-8840,Sim,24/01/2026
Geraldo Uchoa,04/08/1972,Masculino,Pindorama,(82) 95807-4302,Sim,19/11/2025
Selma Cruz,20/05/1956,Feminino,Jardim Tropical,(82) 97524-9897,Sim,05/05/2026
Lorena Campos,08/05/1990,Feminino,Alto do Cruzeiro,(82) 91783-6438,Sim,31/05/2025
Alexandre Cunha,26/07/2015,Masculino,Palmeira,(82) 97334-6554,Não,19/01/2025
Elisangela Dias,04/09/1985,Feminino,São Francisco,(82) 92353-7955,Sim,03/10/2024
Diva Siqueira,18/09/2006,Feminino,São Francisco,(82) 96262-2680,Sim,04/08/2024
Miquéias Lima,17/10/1952,Masculino,Cohab,(82) 97981-3730,Sim,17/06/2025
Sandra Queiroz,23/10/2011,Feminino,Esperança,(82) 95498-1939,Sim,28/08/2024
Bruno Azevedo,28/12/2018,Masculino,Santa Maria,(82) 98179-1570,Sim,13/10/2025
Diana Brito,16/06/2003,Feminino,Esperança,(82) 91530-3513,Sim,28/05/2025
Abiatar Soares,02/10/2007,Masculino,Santa Maria,(82) 99674-7012,Sim,15/08/2024
Lucas Oliveira,26/12/1992,Masculino,Cohab,(82) 94048-9176,Sim,13/11/2024
Tito Rangel,25/04/1972,Masculino,Cohab,(82) 98311-4515,Não,23/08/2025
Márcia Cavalcanti,25/03/2014,Feminino,Centro,(82) 93223-2213,Sim,11/06/2024
Abigail Rocha,27/11/1964,Feminino,São José,(82) 96236-6692,Sim,25/11/2024
Beatriz Santos,03/03/2004,Feminino,Cohab,(82) 93852-6922,Sim,07/02/2026
Layla Sousa,22/02/1941,Feminino,Bom Jesus,(82) 99094-1430,Sim,02/11/2024
Pedro Henrique,21/09/1941,Masculino,Santa Maria,(82) 92412-2077,Sim,06/02/2025
Bianca Neto,10/07/1972,Feminino,São José,(82) 92208-3053,Não,23/08/2024
Rafael Costa,26/11/2001,Masculino,Jardim Tropical,(82) 96644-3102,Não,24/11/2024
Liz Reis,17/02/1991,Feminino,Esperança,(82) 99238-1907,Sim,28/12/2024
Barnabé Torres,05/03/2012,Masculino,Alto do Cruzeiro,(82) 94694-6669,Não,27/12/2024
Patricia Lopes,20/04/1964,Feminino,Bom Jesus,(82) 95496-3050,Sim,20/09/2024
Tatiane Ribeiro,06/11/2000,Feminino,Santa Maria,(82) 93526-3804,Sim,30/09/2024
Arnaldo Brito,27/12/2020,Masculino,Centro,(82) 91744-5336,Sim,03/11/2024
Malaquias Neto,29/12/1975,Masculino,Vila Nova,(82) 99938-5745,Sim,06/08/2025
Sueli Guimarães,14/05/2010,Feminino,Vila Nova,(82) 92195-1981,Sim,12/04/2025
Tereza Cristina,05/06/1990,Feminino,Mangabeira,(82) 93353-6121,Sim,20/07/2025
Maya Lacerda,07/06/1969,Feminino,Esperança,(82) 93142-7070,Sim,23/02/2026
Gustavo Pereira,13/02/2014,Masculino,São Francisco,(82) 98366-5061,Sim,21/04/2026
Marcos Vinícius,24/10/1984,Masculino,Esperança,(82) 95067-3616,Sim,28/10/2024
Mônica Torres,04/03/1990,Feminino,Vila Nova,(82) 99433-8648,Sim,31/07/2025
Aurora Barros,02/07/1964,Feminino,Jardim Tropical,(82) 98491-4944,Sim,15/06/2025
Rafael Costa,23/08/2004,Masculino,Mangabeira,(82) 98710-5681,Sim,21/02/2026
Gustavo Pereira,27/04/1968,Masculino,Cohab,(82) 96992-7606,Sim,27/04/2025
Abiatar Soares,22/03/2000,Masculino,Alto do Cruzeiro,(82) 95728-2204,Sim,07/03/2025
Maria José,28/10/1988,Feminino,Novo Horizonte,(82) 92946-3108,Não,04/05/2025
Henrique Vieira,24/09/1986,Masculino,Alto do Cruzeiro,(82) 93363-4261,Sim,26/04/2025
Conceição Paz,01/01/2021,Feminino,Santa Maria,(82) 96456-8761,Sim,10/01/2026
Aurora Barros,29/05/2019,Feminino,Palmeira,(82) 96218-3662,Sim,18/09/2024
Zilda Farias,12/10/1987,Feminino,Alto do Cruzeiro,(82) 99311-9351,Sim,16/06/2024
Aurora Barros,21/12/2000,Feminino,Alto do Cruzeiro,(82) 96427-2795,Não,22/10/2024
Amós Vieira,30/11/1943,Masculino,Novo Horizonte,(82) 91436-8775,Sim,09/08/2024
Lurdes Braga,05/10/1942,Feminino,Mangabeira,(82) 94728-1841,Sim,19/12/2025
Amanda Pereira,26/10/1973,Feminino,Frei Damião,(82) 97229-3421,Sim,06/10/2025
Osmar Albuquerque,08/02/1944,Masculino,Bom Jesus,(82) 91310-8225,Sim,07/01/2026
Clovis Barreiros,11/07/2005,Masculino,Jardim Tropical,(82) 98726-2020,Sim,27/12/2024
Sebastião Cruz,17/11/1986,Masculino,Vila Nova,(82) 99609-7173,Sim,16/12/2025
Simone Castro,06/06/1979,Feminino,Jardim Tropical,(82) 96804-5331,Sim,27/11/2025
Aparecida Fonseca,24/09/2004,Feminino,São Francisco,(82) 94684-5876,Não,20/06/2024
Joaquim Reis,20/08/1944,Masculino,Alto do Cruzeiro,(82) 98861-6714,Sim,04/09/2025
Mardoqueu Bezerra,24/11/1978,Masculino,Jardim Tropical,(82) 97220-7464,Sim,13/01/2026
Adão Pereira,22/01/2011,Masculino,Alto do Cruzeiro,(82) 98247-5201,Sim,04/11/2025
Salomão Paiva,26/09/2017,Masculino,Cohab,(82) 95450-3249,Sim,19/10/2024
Caio Barros,20/11/1965,Masculino,Palmeira,(82) 99700-4697,Sim,19/04/2026
Matheus Correia,11/08/2016,Masculino,Centro,(82) 93252-1084,Não,01/01/2026
Marcos Vinícius,13/08/1967,Masculino,Vila Nova,(82) 94267-5706,Sim,19/08/2024
Cláudio Rangel,28/01/1972,Masculino,Novo Horizonte,(82) 94804-9767,Sim,04/05/2026
Sofia Rangel,14/07/1991,Feminino,Palmeira,(82) 93880-1595,Não,01/05/2025
Vitória Melo,10/05/1991,Feminino,Palmeira,(82) 91613-1151,Sim,02/10/2024
Benedito Lira,07/05/2003,Masculino,Vila Nova,(82) 99901-9590,Sim,25/01/2026
Luciana Figueiredo,01/05/1982,Feminino,Bom Jesus,(82) 92845-6417,Sim,27/02/2025
Geralda Souza,18/03/1974,Feminino,Pindorama,(82) 96523-5833,Sim,26/11/2025
Carlos Eduardo,08/07/1998,Masculino,São José,(82) 98007-9442,Sim,27/04/2025
Nelma Soares,22/02/1991,Feminino,Vila Nova,(82) 96301-5064,Sim,15/05/2025
Urias Lacerda,28/04/1972,Masculino,Alto do Cruzeiro,(82) 95947-1187,Sim,08/06/2025
Catarina Soares,19/11/1995,Feminino,Centro,(82) 98625-6026,Sim,09/07/2024
Layla Sousa,08/12/1968,Feminino,Frei Damião,(82) 96095-2923,Sim,13/08/2025
Nicodemos Farias,04/04/1959,Masculino,Santa Maria,(82) 98834-3509,Sim,29/09/2024
Ezra Brito,11/08/2009,Masculino,Frei Damião,(82) 99806-4578,Não,15/07/2024
Giovanna Lima,08/09/2007,Feminino,Vila Nova,(82) 99653-6927,Sim,11/11/2024
Thiago Barbosa,28/08/2009,Masculino,Bom Jesus,(82) 99792-3455,Sim,26/12/2024
Geralda Souza,28/03/1975,Feminino,Cohab,(82) 99008-2489,Sim,12/03/2025
Rebeca Alves,18/02/1982,Feminino,Jardim Tropical,(82) 97806-8484,Sim,16/11/2024
Marta Freitas,19/05/1941,Feminino,Cohab,(82) 91356-7487,Sim,08/06/2026
Isabela Duarte,19/01/1978,Feminino,Pindorama,(82) 97941-6644,Sim,04/12/2024
Melissa Tavares,17/01/1967,Feminino,Palmeira,(82) 98734-1519,Sim,09/12/2025
Dilma Porto,06/11/1972,Feminino,Cohab,(82) 97887-7135,Não,16/05/2025
Carla Nogueira,24/06/1967,Feminino,Esperança,(82) 92314-9835,Sim,20/06/2025
Rubem Medeiros,02/07/1949,Masculino,Jardim Tropical,(82) 93086-4648,Sim,19/05/2026
Catarina Soares,22/11/1982,Feminino,Cohab,(82) 99920-7948,Sim,19/10/2025
Jônatas Cunha,02/03/2003,Masculino,São Francisco,(82) 94088-2848,Sim,04/08/2024
Daniel Rocha,21/12/1941,Masculino,Bom Jesus,(82) 94376-2102,Sim,08/05/2026
Renata Cavalcante,08/12/1945,Feminino,São José,(82) 91797-5009,Sim,26/04/2025
Mateus Brito,03/04/2000,Masculino,Frei Damião,(82) 91924-3295,Sim,19/08/2025
Juda Martins,03/10/1997,Masculino,Alto do Cruzeiro,(82) 96253-4881,Sim,16/01/2026
Elisangela Dias,12/07/2018,Feminino,São Francisco,(82) 95508-1998,Sim,14/10/2024
Débora Amaral,12/03/1967,Feminino,Novo Horizonte,(82) 97999-9120,Sim,24/06/2025
Suzana Nunes,07/09/2015,Feminino,Alto do Cruzeiro,(82) 97821-7688,Sim,22/05/2025
Cícero Bezerra,12/08/1979,Masculino,Bom Jesus,(82) 94692-5927,Sim,15/01/2026
Francisca Helena,11/01/1967,Feminino,Jardim Tropical,(82) 97761-7824,Sim,25/01/2026
Rubem Medeiros,27/03/2004,Masculino,Alto do Cruzeiro,(82) 92295-8369,Não,09/03/2026
Marta Freitas,20/03/1970,Feminino,Pindorama,(82) 95398-7179,Sim,02/10/2024
Everaldo Maia,19/03/2007,Masculino,Frei Damião,(82) 94555-8854,Sim,06/07/2025
Sérgio Paiva,31/03/1966,Masculino,Palmeira,(82) 94113-2922,Sim,06/02/2025
Alice Vasconcelos,18/10/1944,Feminino,Cohab,(82) 94350-7498,Não,23/11/2024
Roberto Araújo,25/06/1987,Masculino,Vila Nova,(82) 99743-6886,Sim,08/06/2025
Maria José,08/08/2001,Feminino,Centro,(82) 98692-6246,Não,28/05/2025
Bruno Azevedo,27/09/1995,Masculino,São José,(82) 94625-3390,Sim,22/11/2024
Mônica Torres,14/07/1978,Feminino,São Francisco,(82) 93497-4214,Sim,19/05/2025
Débora Lima,25/08/1989,Feminino,Jardim Tropical,(82) 96530-5216,Sim,27/01/2025
Catarina Soares,21/08/1998,Feminino,Vila Nova,(82) 93756-6770,Sim,29/11/2024
Yasmin Campos,16/09/1967,Feminino,Novo Horizonte,(82) 91962-9584,Sim,27/03/2026
Zilda Farias,06/01/1975,Feminino,Frei Damião,(82) 91104-7756,Sim,04/09/2024
Waldir Lacerda,18/12/2011,Masculino,Bom Jesus,(82) 99285-8471,Sim,17/09/2024
Hadassa Lacerda,24/10/1967,Feminino,Palmeira,(82) 98916-8993,Sim,14/12/2024
Miriã Santos,22/12/1995,Feminino,Jardim Tropical,(82) 95501-9777,Não,25/05/2026
Elisabete Cunha,14/03/2015,Feminino,Centro,(82) 92578-9591,Sim,27/11/2025
Ester Oliveira,12/06/1988,Feminino,São Francisco,(82) 97502-2294,Sim,22/04/2025
Dina Vasconcelos,04/12/1959,Feminino,Bom Jesus,(82) 95914-2320,Sim,15/08/2024
Joabe Moura,08/07/1994,Feminino,Esperança,(82) 97179-8798,Sim,02/06/2026
Vanessa Melo,25/08/2007,Feminino,São José,(82) 98109-6427,Sim,06/03/2026
Vitória Melo,03/01/1967,Feminino,Bom Jesus,(82) 94463-8790,Sim,27/03/2026
Helena Azevedo,17/09/2011,Feminino,Mangabeira,(82) 91539-3938,Não,24/07/2025
Timóteo Leal,09/10/2005,Masculino,Santa Maria,(82) 97525-2260,Sim,11/11/2024
Igor Batista,24/11/2002,Masculino,Palmeira,(82) 99856-6435,Sim,19/01/2026
Dilma Porto,26/08/2013,Feminino,Cohab,(82) 96666-1879,Sim,17/10/2025
Ana Lúcia,18/10/2003,Feminino,Frei Damião,(82) 97499-6347,Sim,05/09/2025
Júlia Holanda,21/08/1982,Feminino,Bom Jesus,(82) 96829-7150,Sim,15/07/2024
Luciana Figueiredo,26/01/1984,Feminino,Frei Damião,(82) 95839-5037,Sim,19/03/2026
Neftali Gomes,02/11/1984,Masculino,Santa Maria,(82) 97383-6188,Sim,10/03/2026
Juda Martins,28/07/1957,Masculino,Alto do Cruzeiro,(82) 95419-2674,Sim,02/12/2025
Bruno Azevedo,23/09/2000,Masculino,Jardim Tropical,(82) 97685-2692,Sim,14/06/2025
Juliana Mendes,28/06/2016,Feminino,Pindorama,(82) 95781-7779,Sim,17/03/2026
Natalia Gomes,16/04/1979,Feminino,Mangabeira,(82) 99537-3778,Sim,20/12/2025
Gabriel Silva,29/04/2004,Masculino,Vila Nova,(82) 93390-2036,Sim,02/09/2025
Asafe Torres,21/01/1981,Masculino,Alto do Cruzeiro,(82) 95123-5040,Sim,20/01/2025
Irene Magalhães,04/08/2018,Feminino,Centro,(82) 93219-5991,Sim,02/05/2025
Sérgio Paiva,25/06/1999,Masculino,Frei Damião,(82) 96399-8212,Sim,14/08/2024
Rute Borges,15/05/1992,Feminino,Alto do Cruzeiro,(82) 94290-8848,Sim,30/04/2025
Febe Melo,03/12/2004,Feminino,Novo Horizonte,(82) 99044-4971,Sim,28/08/2025
Sofia Rangel,17/06/1984,Feminino,Centro,(82) 94273-9939,Sim,25/11/2024
Leandro Cardoso,30/03/2014,Masculino,Vila Nova,(82) 95773-2133,Sim,19/04/2025
Selma Cruz,02/11/2019,Feminino,São Francisco,(82) 94965-5139,Sim,04/04/2025
Ísis Torres,30/07/1994,Feminino,Mangabeira,(82) 98851-7566,Sim,03/07/2024
Matheus Correia,15/06/1965,Masculino,Cohab,(82) 99796-2392,Sim,30/09/2025
Clarice Ramos,08/03/1985,Feminino,Novo Horizonte,(82) 91725-7547,Não,07/07/2025
Sara Mendes,05/02/1983,Feminino,Pindorama,(82) 92615-5239,Sim,27/12/2024
Débora Amaral,03/10/1974,Feminino,Bom Jesus,(82) 98303-7129,Sim,16/07/2024
Fernanda Lima,28/02/2009,Feminino,Alto do Cruzeiro,(82) 91402-8909,Sim,12/04/2025
Rute Borges,10/02/1994,Feminino,São José,(82) 93321-6707,Sim,02/03/2025
Sara Mendes,17/08/2000,Feminino,Alto do Cruzeiro,(82) 98801-2599,Sim,28/06/2024
Melissa Tavares,15/05/1994,Feminino,Pindorama,(82) 92885-1370,Sim,17/08/2024
Golias Junior,16/04/2019,Masculino,Jardim Tropical,(82) 93858-3623,Sim,01/04/2025
Zipóra Sousa,08/07/1989,Feminino,Novo Horizonte,(82) 94022-4053,Sim,26/03/2025
Davi Almeida,23/10/1973,Masculino,Palmeira,(82) 94232-8365,Sim,09/05/2025
Cornélio Barros,28/03/1990,Masculino,São Francisco,(82) 92025-2667,Sim,09/12/2024
Gedeão Alves,23/03/2011,Masculino,Vila Nova,(82) 92867-5298,Sim,26/01/2025
Lara Holanda,22/05/1976,Feminino,Mangabeira,(82) 97367-7431,Sim,20/06/2025
Osmar Albuquerque,25/10/1952,Masculino,Santa Maria,(82) 95873-2388,Sim,26/07/2025
José Carlos,10/02/1957,Masculino,Santa Maria,(82) 97116-3316,Sim,09/04/2025
Tamar Ferreira,27/06/1978,Feminino,Esperança,(82) 94043-8973,Sim,01/07/2024
Lorena Campos,23/09/2006,Feminino,Santa Maria,(82) 99022-5732,Sim,24/07/2025
Ruth Silva,09/01/1999,Feminino,São José,(82) 96882-1157,Sim,24/11/2025
Amanda Pereira,28/08/1949,Feminino,Novo Horizonte,(82) 99109-7703,Sim,12/04/2025
Clarice Ramos,20/08/1982,Feminino,Santa Maria,(82) 92354-1505,Sim,29/10/2025
Isaque Santos,07/04/1958,Masculino,Jardim Tropical,(82) 95729-3755,Sim,09/11/2024
Aparecida Fonseca,20/09/2001,Feminino,Jardim Tropical,(82) 92854-2871,Sim,02/12/2024
Cecília Cavalcante,16/09/2016,Feminino,São José,(82) 91681-8231,Sim,02/04/2025
Alexandre Cunha,12/11/1970,Masculino,Frei Damião,(82) 95055-5877,Sim,09/05/2026
Elisa Cunha,26/01/1985,Feminino,Vila Nova,(82) 92923-4882,Sim,17/10/2024
Dilma Porto,21/10/1997,Feminino,Novo Horizonte,(82) 98015-3719,Sim,12/11/2025
Daniela Martins,12/01/1971,Feminino,Mangabeira,(82) 96747-9720,Sim,07/12/2024
Bezalel Vasconcelos,11/05/1944,Masculino,São Francisco,(82) 95380-9428,Não,16/07/2024
Ana Lúcia,11/07/2006,Feminino,Palmeira,(82) 91971-5543,Não,02/02/2026
Vanessa Melo,19/04/2019,Feminino,Santa Maria,(82) 96277-5055,Sim,19/07/2024
Diego Alves,04/10/1962,Masculino,Novo Horizonte,(82) 95402-7786,Sim,26/03/2026
Orpá Martins,30/01/1968,Feminino,Esperança,(82) 99447-5558,Sim,30/05/2025
